"PrimarySmtpAddress","Count"
"10_takiptekihizmetler@acibadem.com","228"
"12_takiptekihizmetler@acibadem.com","127"
"14_takiptekihizmetler@acibadem.com","190"
"20_takiptekihizmetler@acibadem.com","293"
"22_takiptekihizmetler@acibadem.com","392"
"23_takiptekihizmetler@acibadem.com","146"
"24_takiptekihizmetler@acibadem.com","142"
"28_takiptekihizmetler@acibadem.com","159"
"30_takiptekihizmetler@acibadem.com","174"
"31_takiptekihizmetler@acibadem.com","104"
"34_takiptekihizmetler@acibadem.com","692"
"35_takiptekihizmetler@acibadem.com","125"
"45_takiptekihizmetler@acibadem.com","259"
"59_takiptekihizmetler@acibadem.com","144"
"60_takiptekihizmetler@acibadem.com","152"
"64_takiptekihizmetler@acibadem.com","35"
"71_takiptekihizmetler@acibadem.com","236"
"72_takiptekihizmetler@acibadem.com","78"
"8.donemdisgelisim@acibadem.com","1"
"87_takiptekihizmetler@acibadem.com","98"
"9.donemdisgelisim@acibadem.com","1"
"90_takiptekihizmetler@acibadem.com","309"
"94_takiptekihizmetler@acibadem.com","124"
"acb1katekipliderleri@acibadem.com","2"
"acbameliyatlistesi@acibadem.com","78"
"acbayaktanfiyatverme@acibadem.com","259"
"acbbakimdestekpersonel@acibadem.com","9"
"acbbashekimlik@acibadem.com","2707"
"acbbirimsorumlulari@acibadem.com","80"
"acbbiyomedikal@acibadem.com","837"
"acbbt@acibadem.com","2073"
"acbdestekhizmetleri@acibadem.com","56"
"acbfaturakontrol@acibadem.com","705"
"acbgeceekibi@acibadem.com","43"
"acbguvenlik@acibadem.com","1"
"acbhdameliyathanehem@acibadem.com","4"
"acbhdkoroner@acibadem.com","38"
"acbhdshiftsor@acibadem.com","241"
"acbHemlist@acibadem.com.tr","9"
"acbhhmdanisma@acibadem.com","3"
"acbhhmekipliderleri@acibadem.com","2614"
"acbhhmlist@acibadem.com.tr","33"
"acbhhmsorumlular@acibadem.com","965"
"acbhhmyonetim@acibadem.com","5212"
"acbiskazasi@acibadem.com","31"
"acbistencikis@acibadem.com","30"
"acbizinbilgilendirme@acibadem.com","3854"
"acbkatvetemizlikhizmetleri@acibadem.com","1"
"acbldanadepo@acibadem.com","4728"
"acbmobcrmproje@acibadem.com","54"
"acbmobilfaks@acibadem.com","54"
"acbmobilfaksalarm@acibadem.com","54"
"acbmobilfaturaitiraz@acibadem.com","54"
"acbmobilofis@acibadem.com","3"
"acbmobilsahasatisveoperasyontakibi@acibadem.com","63"
"acbmodisguvenligikurulu@acibadem.com","54"
"acbnobetciisletme@acibadem.com","1459"
"acbolaybildirim@acibadem.com","186"
"acbonkoloji@acibadem.com","16"
"acbops2@acibadem.com","305"
"acbozelhastalar@acibadem.com","75"
"acbperlist@acibadem.com.tr","43"
"acbsacekimi@acibadem.com","74"
"acbsantral@acibadem.com","35"
"acbtdagizvedissagligi@acibadem.com","2"
"acbtdderihastaliklari@acibadem.com","2"
"acbtddiyet@acibadem.com","2"
"acbtddoktorlar@acibadem.com","63"
"acbtdfiziktedavi@acibadem.com","1"
"acbtdgastroenteroloji@acibadem.com","1"
"acbtdnobetcidoktorlar@acibadem.com","3"
"acbtdyogunbakim@acibadem.com","1"
"acbtemizlik@acibadem.com","45"
"acbtesto@acibadem.com","649"
"acbubs@acibadem.com","258"
"acbuhm@acibadem.com","2714"
"acbyabancihasta@acibadem.com","154"
"acbyatanfiyatverme@acibadem.com","290"
"acbyatanhastaborc@acibadem.com","83"
"acbyiyicekicicek@acibadem.com","1"
"acibadem.maliisler@acibadem.com","7"
"acibadembodrum@acibadem.com","3"
"acibademcityclinicdailyrevenue@acibadem.com","88"
"Acibademcomtr@acibadem.com","13"
"acibademhealthpoint@acibadem.com","2139"
"acibademmobilbireyselsatisyonetimiraporlama@acibadem.com","54"
"acibademmobilevdesaglikvebakimhizmetlerisatismudurlugu@acibademmobil.com.tr","826"
"acibademmobilevdesaglikvebakimhizmetlerisatismudurlugu2@acibadem.com","54"
"acibademmobilkurumsalsatis@acibademmobil.com.tr","1116"
"acibademmobilsagliksatisdirektorlugu@acibademmobil.com.tr","54"
"acibadempolikliniklerguvenlik@acibadem.com","105"
"acibademsigorta@acibademmobil.com.tr","54"
"acibademsistemyonetimi@acibadem.com","60696"
"acibademsistinadailyrevenue@acibadem.com","83"
"acilservishhyoenetim@acibadem.com","386"
"actcrm@acibademtechnology.com","2"
"aculdanadepo@acibadem.com","355"
"acutransitiontoclerkship@acibadem.com","9"
"adaacilservis@acibadem.com","9"
"adaameliyatlistesi@acibadem.com","86"
"adaayaktanfiyatverme@acibadem.com","619"
"adabashekimlik@acibadem.com","17"
"adabiyomedikal@acibadem.com","397"
"adabt@acibadem.com","1441"
"adadestekhizmetleri@acibadem.com","3"
"adadestekhizmetleri2@acibadem.com","10"
"Adadoklist@acibadem.com","102"
"adaeczane@acibadem.com","4564"
"adaevdebakim@acibadem.com","13"
"adafaturakontrol@acibadem.com","1871"
"adahdbdp@acibadem.com","3"
"adahdekipliderleri@acibadem.com","85"
"adahdklinikegitim@acibadem.com","73"
