Servers Availability Details Status
SNo,ServerName,IPAddress,Operating System,Domain,Status
1,GMSCCM,10.6.240.123,Microsoft Windows Server 2012 R2 Standard,acibadem.com.tr,Ok
2,GMSCCMSQL2014,10.6.240.124,Microsoft Windows Server 2012 R2 Standard,acibadem.com.tr,Ok
3,ASG100SCS01,10.6.243.187,Microsoft Windows Server 2019 Standard,acibadem.com.tr,Ok
4,ASG101SCS01,10.150.0.188,Microsoft Windows Server 2019 Standard,acibadem.com.tr,Ok
5,ASG102SCS01,172.17.0.188,Microsoft Windows Server 2019 Standard,acibadem.com.tr,Ok
6,ASG120SCS01,10.90.0.188,Microsoft Windows Server 2019 Standard,acibadem.com.tr,Ok
7,ASG121SCS01,10.20.0.188,Microsoft Windows Server 2019 Standard,acibadem.com.tr,Ok
8,ASG122SCS01,10.110.0.188,Microsoft Windows Server 2019 Standard,acibadem.com.tr,Ok
9,ASG123SCS01,10.50.0.188,Microsoft Windows Server 2019 Standard,acibadem.com.tr,Ok
10,ASG124SCS01,10.120.0.188,Microsoft Windows Server 2019 Standard,acibadem.com.tr,Ok
11,ASG125SCS01,10.60.0.188,Microsoft Windows Server 2019 Standard,acibadem.com.tr,Ok
12,ASG126SCS01,10.191.0.188,Microsoft Windows Server 2019 Standard,acibadem.com.tr,Ok
13,ASG127SCS01,10.100.0.188,Microsoft Windows Server 2019 Standard,acibadem.com.tr,Ok
14,ASG128SCS01,10.30.0.188,Microsoft Windows Server 2019 Standard,acibadem.com.tr,Ok
15,ASG129SCS01,10.40.0.188,Microsoft Windows Server 2019 Standard,acibadem.com.tr,Ok
16,ASG130SCS01,10.80.0.188,Microsoft Windows Server 2019 Standard,acibadem.com.tr,Ok
17,ASG131SCS01,10.140.0.188,Microsoft Windows Server 2019 Standard,acibadem.com.tr,Ok
18,ASG132SCS01,10.130.0.188,Microsoft Windows Server 2019 Standard,acibadem.com.tr,Ok
19,ASG133SCS01,10.160.0.188,Microsoft Windows Server 2019 Standard,acibadem.com.tr,Ok
20,ASG134SCS01,10.170.0.188,Microsoft Windows Server 2019 Standard,acibadem.com.tr,Ok
21,ASG135SCS01,10.180.0.188,Microsoft Windows Server 2019 Standard,acibadem.com.tr,Ok
22,APS102SCS01,10.19.0.188,Microsoft Windows Server 2019 Standard,acibadem.com.tr,Ok
Servers Disk Space Details
SNo,ServerName,Drive,VolName,Total_Capacity(GB),Used_Capacity(GB),Free_Space(GB),Free_Space%,Status
1,GMSCCM,C:,OS,249.66,195.25,54.41,21.8,Ok
2,GMSCCM,S:,SCCM,600,290.09,309.91,51.65,Ok
3,GMSCCM,W:,WSUS,300,211.42,88.58,29.53,Ok
4,GMSCCMSQL2014,C:,,299.66,225.74,73.92,24.67,Ok
5,GMSCCMSQL2014,W:,New Volume,200,156.76,43.24,21.62,Ok
6,ASG100SCS01,C:,,99.46,22.53,76.93,77.35,Ok
7,ASG100SCS01,E:,Content Library,149.98,97.03,52.95,35.3,Ok
8,ASG101SCS01,C:,,99.46,17.84,81.62,82.07,Ok
9,ASG101SCS01,E:,Content Library,99.98,36.32,63.66,63.67,Ok
10,ASG102SCS01,C:,,99.46,24.19,75.27,75.67,Ok
11,ASG102SCS01,E:,Content Library,99.98,36.33,63.65,63.66,Ok
12,ASG120SCS01,C:,,99.46,26.19,73.27,73.66,Ok
13,ASG120SCS01,E:,Content Library,99.98,36.32,63.66,63.67,Ok
14,ASG121SCS01,C:,,99.46,20.81,78.65,79.07,Ok
15,ASG121SCS01,E:,Content Library,99.98,31.22,68.76,68.78,Ok
16,ASG122SCS01,C:,,99.46,20.87,78.59,79.01,Ok
17,ASG122SCS01,E:,Content Library,99.98,36.35,63.63,63.64,Ok
18,ASG123SCS01,C:,,99.46,21.09,78.37,78.79,Ok
19,ASG123SCS01,E:,Content Library,99.98,36.33,63.65,63.66,Ok
20,ASG124SCS01,C:,,99.46,37.17,62.29,62.63,Ok
21,ASG124SCS01,E:,Content Library,99.98,36.33,63.65,63.66,Ok
22,ASG125SCS01,C:,,99.46,25.4,74.06,74.46,Ok
23,ASG125SCS01,E:,Content Library,99.98,36.33,63.65,63.66,Ok
24,ASG126SCS01,C:,,99.46,16.55,82.91,83.36,Ok
25,ASG126SCS01,E:,Content Library,99.98,6.44,93.54,93.55,Ok
26,ASG127SCS01,C:,,99.46,21.66,77.8,78.22,Ok
27,ASG127SCS01,E:,Content Library,99.98,36.35,63.63,63.64,Ok
28,ASG128SCS01,C:,,99.46,26.5,72.96,73.35,Ok
29,ASG128SCS01,E:,Content Library,99.98,36.35,63.63,63.64,Ok
30,ASG129SCS01,C:,,99.46,35.22,64.24,64.58,Ok
31,ASG129SCS01,E:,Content Library,99.98,36.35,63.63,63.64,Ok
32,ASG130SCS01,C:,,99.46,21.69,77.77,78.19,Ok
33,ASG130SCS01,E:,Content Library,99.98,36.33,63.65,63.66,Ok
34,ASG131SCS01,C:,,99.46,22.19,77.27,77.68,Ok
35,ASG131SCS01,E:,Content Library,99.98,36.32,63.66,63.67,Ok
36,ASG132SCS01,C:,,99.46,21.57,77.89,78.32,Ok
37,ASG132SCS01,E:,Content Library,99.98,36.33,63.65,63.66,Ok
38,ASG133SCS01,C:,,99.46,21.11,78.35,78.78,Ok
39,ASG133SCS01,E:,Content Library,99.98,36.35,63.63,63.64,Ok
40,ASG134SCS01,C:,,99.46,26.49,72.97,73.36,Ok
41,ASG134SCS01,E:,Content Library,99.98,36.35,63.63,63.64,Ok
42,ASG135SCS01,C:,,99.46,21.58,77.88,78.3,Ok
43,ASG135SCS01,E:,Content Library,99.98,36.33,63.65,63.66,Ok
44,APS102SCS01,C:,,99.46,30.57,68.89,69.26,Ok
45,APS102SCS01,E:,Content Library,99.98,36.33,63.65,63.66,Ok
Servers Management Point Status
SNo,ServerName,Site_Code,MPCert_Status,MPCert_Code,MPList_Status,MPList_Code,Status
1,GMSCCM,ASG,OK,200,OK,200,Ok
Components Servers Services Details
SNo,ServerName,DisplayName,Name,StartMode,Status
1,GMSCCM,IIS Admin Service,IISADMIN,Auto,Ok
2,GMSCCM,World Wide Web Publishing Service,W3SVC,Auto,Ok
3,GMSCCM,Windows Management Instrumentation,Winmgmt,Auto,Ok
